id,type,name,date,fromdate,todate,datetype,dateevent,datename,daterelation,dateplace,lon,lat,match
amnhc_2000029,Expedition,Hyde Exploring Expedition,1907,,,chronitem,Chaco Canyon National Monument established.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1908,,,chronitem,B.T.B. Hyde transfers part of collection deposited with AMNH to the University of Pennsylvania.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1910,,,chronitem,Richard Wetherill is murdered.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1916,,,chronitem,"B.T.B. Hyde sells part of his collection to Gustav Heye, founder of the Museum of the American Indian in New York.",,,,71.876519,-6.343194,British Indian Ocean Territory
amnhc_2000029,Expedition,Hyde Exploring Expedition,1920,,,chronitem,Cartier Expedition goes back to Grand Gulch with B.T.B Hyde in effort to identify provenance of items remaining in AMNH collection.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1930,,,chronitem,Works Progress Administration hires workers to type field notes in AMNH Anthropology Department from Hyde Exploring Expeditions.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1987,,,chronitem,Chaco Canyon named a UNESCO World Heritage Site.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1990,,,chronitem,Wetherill-Grand Gulch Research Symposium.,,,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1920,,,cpfrelation,,,Cartier Expedition,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1899,,,cpfrelation,,,"Putnam, Frederick W.",,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1899,,,cpfrelation,,,"Dodge, R. E.",,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1891,,,cpfrelation,,,"Nordenskiöld, Gustaf von",,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1890,,,cpfrelation,,,"Powell, John Wesley",,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1892,,,cpfrelation,,,Sixth Minneapolis Industrial Exposition,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1893,,,cpfrelation,,,World's Columbian Exposition,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1901,,,cpfrelation,,,New Mexico State Fair,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1904,,,cpfrelation,,,Louisiana Purchase Exposition,,,,
amnhc_2000029,Expedition,Hyde Exploring Expedition,1899,,,cpfrelation,,,Aleš Hrdlička,,,,
amnhc_2000030,Expedition,Volk Expedition,1902,,,existdates,,,,"Trenton, New Jersey",-74.405661,40.058324,New Jersey
amnhc_2000030,Expedition,Volk Expedition,,1901,1902,existdates,,,,"Trenton, New Jersey",-74.405661,40.058324,New Jersey
amnhc_2000031,Expedition,Saville Expeditions to Mexico (1896-1904),1902,,,existdates,,,,"Trenton, New Jersey",-105.032363,34.97273,New Mexico
amnhc_2000032,Expedition,Chapman Expedition to Yucatan,1896-03,,,existdates,,,,Yucatan,,,
amnhc_2000033,Expedition,Peary Expedition to Greenland (6th : 1896),1896,,,existdates,,,,Greenland,-42.604303,71.706936,Greenland
amnhc_2000036,Expedition,Chapman Expedition to Mexico,1897-04,,,existdates,,,,"Jalapa, Mexico",-105.032363,34.97273,New Mexico
amnhc_2000037,Expedition,Hovey Geological Expedition,1898,,,existdates,,,,"Russia, Italy",12.56738,41.87194,Italy
amnhc_2000038,Expedition,Jesup North Pacific Expedition (1897-1902),1898,,,existdates,,,,"Russia, Italy",12.56738,41.87194,Italy
amnhc_2000039,Expedition,Patagonian Expedition (1899-1900),1898,,,existdates,,,,"Russia, Italy",12.56738,41.87194,Italy
amnhc_2000040,Expedition,Jesup Arapaho Expedition (1899-1901),1898,,,existdates,,,,"Russia, Italy",12.56738,41.87194,Italy
amnhc_2000041,Expedition,Huntington Expeditions to California,1904,,,existdates,,,,"Maidu Pit River and Shasta Indian Tribes, Northern California",-119.417932,36.778261,California
amnhc_2000042,Expedition,Smith Colombian Expedition (1898-1901),1904,,,existdates,,,,"Maidu Pit River and Shasta Indian Tribes, Northern California",-119.417932,36.778261,California
amnhc_2000043,Expedition,Central American Expedition,1900,,,existdates,,,,"Colombia, Costa Rica",-83.753428,9.748917,Costa Rica
amnhc_2000044,Expedition,Vertebrate Paleontology Expeditions,1900,,,existdates,,,,"Laramie Beds, Wyoming",-107.290284,43.075968,Wyoming
amnhc_2000045,Expedition,Villard Expedition to Oregon,1900,,,existdates,,,,"Laramie Beds, Wyoming",-120.554201,43.804133,Oregon
amnhc_2000046,Expedition,Anthropology Expeditions,1901,,,existdates,,,,"Eastern and Western United States, Central America, Bolivia, Peru, Greenland, Siberia, Japan, Korea, China",104.195397,35.86166,China
amnhc_2000047,Expedition,Expeditions from Department of Mammalogy and Ornithology,1901,,,existdates,,,,"Eastern and Western United States, Central America, Bolivia, Peru, Greenland, Siberia, Japan, Korea, China",104.195397,35.86166,China
amnhc_2000048,Expedition,Andrew J. Stone Expedition (1st : 1901); Andrew J. Stone Expedition (2nd : 1902); Andrew J. Stone Expedition (3rd : 1903),1901,,,existdates,,,,"Eastern and Western United States, Central America, Bolivia, Peru, Greenland, Siberia, Japan, Korea, China",104.195397,35.86166,China
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-04,,,place,,,,Washington,-120.740139,47.751074,Washington
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-04,,,place,,,,Washington,-120.740139,47.751074,Washington
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1900-04-11,,,chronitem,Franz Boaz proposes AMNH China Expedition to Columbia University President Seth Low,,,,104.195397,35.86166,China
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1900-11-27,,,chronitem,Jacob H. Schiff writes to President Low saying he would consider supporting the expedition,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1900-12-24,,,chronitem,"Schiff pledges $6,000/year for three years and suggests committee members",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-02-16,,,chronitem,AMNH Committee votes to employ Berthold Laufer,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-04,,,chronitem,"Laufer departs from his home in Cologne, travels to London, then Washington DC, where he interviews the Chinese minister",,,,-120.740139,47.751074,Washington
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-06,,,chronitem,Laufer orders “apparatus for recording inscriptions”,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-07-25,,,chronitem,"Laufer departs San Francisco by ship, stops in Honolulu",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-08-20,,,chronitem,Laufer arrives in Shanghai,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-08-30,,,chronitem,"Laufer’s first letter from Shanghai arrives at the Museum. He stays in Shanghai three weeks, makes major purchase of encyclopedic Tu shu shi cheng for $135",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-10-01,,,chronitem,"First shipment of collections arrives in Chicago, en-route to AMNH",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-10,,,chronitem,"Laufer embarks on ambitious five-week tour of Southern Jiangsu and Zhejiang provinces, visiting Shanghai, Suzhou, Hangzhou, Ningbo, Putuoshan, and Haimen. He travels alone and manages all aspects of collecting himself. Travels by junk, horseback, palanquin, and small boat, “totally like a Chinese.”",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-11-08,,,chronitem,"Laufer returns to Shanghai, stays in Mrs. Clark's boarding house, complains of injury to right hand slowing his work, stays three weeks",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901-12,,,chronitem,"Laufer takes boat to Beijing, settles in for major collecting and study, finds local tutor",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1901,,,chronitem,"West and Southwest Halls on the second floor of AMNH “contain at present a portion of the material sent from China by Dr. Laufer.” (5, p. 18)",,,,104.195397,35.86166,China
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1902,,,chronitem,"“Early in the year, Dr. Laufer moved to Peking.” (5)",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1902-06,,,chronitem,"Laufer travels north of Beijing to major sites including Ming Tombs, Great Wall, temple complexes",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1902-08,,,chronitem,Laufer visits Lamaist Temples in Jehol,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1902-12-01,,,chronitem,"Laufer begins travels in western and northwestern regions, with a brief stop in Nanjing, where he sees the Taiping rebellion-ravaged city",,,,12.453389,41.902916,Vatican City
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-03,,,chronitem,Laufer travels to Hankou,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-04,,,chronitem,"Laufer receives a gift of forty-four Chinese bird skins from Albert Frank, a western collector, on behalf of the AMNH (6, p. 53)",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903,,,chronitem,"Laufer travels to Xian, Shaanxi Province",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-08-16,,,chronitem,"Laufer makes inquiry into making ink rubbings of a stone vault tomb complex in Chengdu, this does not come about",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-08,,,chronitem,"Laufer travels to Xianfu, Shensi Province",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-09,,,chronitem,"Laufer packs collections into a seven mule cart caravan, Xianfu overland to Tianjin",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-10,,,chronitem,Laufer finally arrives in Tianjin after travelling overland by donkey for 31 days,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-10,,,chronitem,"Laufer arrives back in Beijing, spends two months collecting, then embarks on a five-week tour of Qingdao and Shandong Province",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903-12-01,,,chronitem,"Laufer “completes Mrs. Robert W. de Forest Collection of Pottery, 541 pieces ($275).” I Hsing Tsien",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903,,,chronitem,"“Chinese collection placed temporarily in the cases in the corner gallery of the west wing…” “Dr. Laufer actively pushing the work in China…very extensive collections, referring specifically to the industrial life of the Chinese, have been received by the Museum…[he] is expected to return to New York during the spring of 1904, and will give his personal attention to the installation of these collections.” (3, p. 21, 23)",,,,-74.217933,43.299428,New York
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904-02-10,,,chronitem,Laufer arrives back in Shanghai,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904-02-23,,,chronitem,"Expedition Committee offers Laufer a one-year position of Assistant, Ethnology, at a salary of $1,500/year",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904-04-15,,,chronitem,"Laufer returns home by way of Shanghai, Suez, Cologne",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904,,,chronitem,"The last shipment of collections arrives at the Museum, 305 cases",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904,,,chronitem,"“Fieldwork closed in China, all collections received by the Museum, and installed in the Southwest Gallery” (3, p.19)",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1906,,,chronitem,"Museum President Morris K. Jesup decides that there will be no more collecting in China; AMNH is to be a natural history museum only. (7, p. 34)",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1907,,,chronitem,"Laufer takes position at the Field Museum, Chicago",,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1903,,,cpfrelation,,,"Frank, Albert",,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1946,,,resourcerelation,,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),2003,,,resourcerelation,,,,,,,
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),1904-02,,,place,,,,Washington,-120.740139,47.751074,Washington
amnhc_2000050,Expedition,Whitney Expeditions (1901-1904),1904-02,,,place,,,,Washington,-120.740139,47.751074,Washington
amnhc_2000051,Expedition,Batty Expeditions to Mexico (1903-1906),1904-02,,,place,,,,Washington,-105.032363,34.97273,New Mexico
amnhc_2000052,Expedition,Puerto Rico Expedition (1906),1905,,,existdates,,,,"Culebra, Puerto Rico",-66.590149,18.220833,Puerto Rico
amnhc_2000053,Expedition,Chapman Expeditions,1905,,,existdates,,,,"Culebra, Puerto Rico",-66.590149,18.220833,Puerto Rico
amnhc_2000054,Expedition,Invertebrate Zoology Expedition (1906-1908),1905,,,existdates,,,,"Culebra, Puerto Rico",-66.590149,18.220833,Puerto Rico
amnhc_2000055,Expedition,Vertebrate Palaeontology Expeditions,1905,,,existdates,,,,"Culebra, Puerto Rico",-66.590149,18.220833,Puerto Rico
amnhc_2000056,Expedition,South Pacific Expedition,1905,,,existdates,,,,"Culebra, Puerto Rico",-66.590149,18.220833,Puerto Rico
amnhc_2000057,Expedition,Ornithology Expedition,1906-04,,,existdates,,,,"Nebraska, Arizona, Southern California, Utah, Wyoming, Rocky Mountains",,,
amnhc_2000058,Expedition,Florissant Expeditions (1906-1908),1906-04,,,existdates,,,,"Nebraska, Arizona, Southern California, Utah, Wyoming, Rocky Mountains",,,
amnhc_2000059,Expedition,"Expedition to the Desert of Fayoum, Egypt",1907,,,existdates,,,,"Egypt: Lake Moeris, Fayoum Desert",30.802498,26.820553,Egypt
amnhc_2000060,Expedition,Vertebrate Palaeontology Expedition,,1907,1908,existdates,,,,"South Dakota, Wyoming, Sioux County (Nebraska)",-99.901813,41.492537,Nebraska
amnhc_2000061,Expedition,Vertebrate Palaeontology Expedition,,1907,1909,existdates,,,,"Montana: Fort Union, Fort Pierre, Smoke Butte",,,
amnhc_2000062,Expedition,Chapman-Fuertes trip to Canada,1907,,,existdates,,,,"Saskatchewan, Canadian Rockies",-106.346771,56.130366,Canada
amnhc_2000063,Expedition,Alaskan Mammoth Expedition (1907-1908),,1907,1908,existdates,,,,Alaska,-154.493062,63.588753,Alaska
amnhc_2000064,Expedition,Andrews Alaskan Expedition (1908),1908,,,existdates,,,,"Vancouver Island, Alaskan coast, British Columbia",71.876519,-6.343194,British Indian Ocean Territory
amnhc_2000065,Expedition,Expedition to Texas,1908,,,existdates,,,,"Permian beds, Texas",-99.901813,31.968599,Texas
amnhc_2000066,Expedition,Korean Expedition,1908,,,existdates,,,,Korea,127.510093,40.339852,North Korea
amnhc_2000067,Expedition,Lesser Antilles Expedition,1908,,,existdates,,,,"Martinique, St. Vincent, Grenada, Barbados, Guadeloupe",-69.060087,12.226079,Netherlands Antilles
amnhc_2000068,Expedition,New Zealand Expedition,1908,,,existdates,,,,New Zealand,174.885971,-40.900557,New Zealand
amnhc_2000069,Expedition,Philippine Expedition,1908,,,existdates,,,,Philippines,121.774017,12.879721,Philippines
amnhc_2000070,Expedition,Tahiti Expedition,1908,,,existdates,,,,"Tahiti, Society Islands",,,
amnhc_2000071,Expedition,Wyoming Expedition,1908,,,existdates,,,,Eastern and Northern Wyoming,-107.290284,43.075968,Wyoming
amnhc_2000072,Expedition,Expedition to Nicaragua,1908,,,existdates,,,,Eastern and Northern Wyoming,-85.207229,12.865416,Nicaragua
amnhc_2000073,Expedition,Hudson Bay Expedition,1908,,,existdates,,,,Eastern and Northern Wyoming,-107.290284,43.075968,Wyoming
amnhc_2000074,Expedition,Stefansson-Anderson Arctic Expedition of the American Museum of Natural History (1908-1912),1908,,,existdates,,,,Eastern and Northern Wyoming,-107.290284,43.075968,Wyoming
amnhc_2000075,Expedition,Bahamas Expedition,1908,,,existdates,,,,"Andros Island, Little Golding Cay, Nassau",-77.39628,25.03428,Bahamas
amnhc_2000076,Expedition,Andrews Canadian Field Trip,1909,,,existdates,,,,"Tadousac, Quebec",,,
amnhc_2000077,Expedition,Ashokan Field Trip,1909,,,existdates,,,,Ashokan Watershed (N. Y.),,,
amnhc_2000078,Expedition,Long Island Expedition,1909,,,existdates,,,,Long Island,,,
amnhc_2000079,Expedition,North Carolina Expedition,1909,,,existdates,,,,North Carolina,-79.0193,35.759573,North Carolina
amnhc_2000080,Expedition,Philippines Expedition (1909),1909,,,existdates,,,,North Carolina,121.774017,12.879721,Philippines
amnhc_2000081,Expedition,Puget Sound Expedition,1909,,,existdates,,,,Puget Sound,,,
amnhc_2000082,Expedition,Vertebrate Palaeontology Expedition,1909,,,existdates,,,,"Wyoming: Wind River Basin, Beaver Divide",,,
amnhc_2000083,Expedition,Fabbri Tekla Expedition to Florida (1909-1910),1909,,,existdates,,,,"Wyoming: Wind River Basin, Beaver Divide",-81.515754,27.664827,Florida
amnhc_2000084,Expedition,Akeley Expedition to British East Africa (1909-1911),1909,,,existdates,,,,"Wyoming: Wind River Basin, Beaver Divide",71.876519,-6.343194,British Indian Ocean Territory
amnhc_2000085,Expedition,Carriker Venezuelan Expedition (1909-1911),1909,,,existdates,,,,"Wyoming: Wind River Basin, Beaver Divide",,,
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1909-09-12,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1909-09-24,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1910-10-23,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914-04-19,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914 April 21,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914-09-10,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914-09-12,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914-09-28,,,place,,,,New York,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1907,,,chronitem,"AMNH President Jesup desires to send an expedition to the Congo Free State, plans begin.",,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1907,,,chronitem,King Leopold II receives plans for multi-room Congo Exhibit at Museum and gifts Museum with over 3000 objects.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1908,,,chronitem,the Congo Free State is annexed by the Belgian government and becomes the Belgian Congo.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1908,,,chronitem,Herbert Lang is asked to lead the Expedition; requests James Chapin as his assistant.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1908-04-02,,,chronitem,Formal letters of permission to proceed with Expedition are received from Belgian government,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1909-05-08,,,chronitem,Expedition leaves New York City for Antwerp,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1909-06-22,,,chronitem,"Expedition arrives in Boma, Africa, begins",,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1909-09-30,,,chronitem,"Established initial base at Avakubi, beginning the process of training assistants and collecting",,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1913-02-19,,,chronitem,Left Faradje to begin large scale transport back to Stanleyville. On the trek back the team continued to add specimens to the collection.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1913-09-09,,,chronitem,Left the Ituri district.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1914-12-10,,,chronitem,Chapin leaves Stanleyville with first group of collection.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1915-03-31,,,chronitem,Chapin arrives in New York with first group of collection.,,,,21.758664,-4.038333,Congo [DRC]
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),1915-08,,,chronitem,remaining group of the collection is sent to New York by Lang,,,,21.758664,-4.038333,Congo [DRC]
